Date,삼성전자,SK하이닉스,파두
2024-08-30,101.36425648021827,116.1096256684492,69.55665024630542
2024-09-02,101.5006821282401,116.31016042780749,69.80295566502464
2024-09-03,98.90859481582538,112.5,68.42364532019704
2024-09-04,95.49795361527967,103.475935828877,66.00985221674877
2024-09-05,94.1336971350614,106.55080213903743,64.23645320197045
2024-09-06,93.99727148703957,104.54545454545455,59.75369458128079
2024-09-09,92.08731241473397,104.94652406417113,64.1871921182266
2024-09-10,90.3137789904502,103.94385026737969,69.80295566502464
2024-09-11,88.54024556616645,105.08021390374331,74.48275862068967
2024-09-12,90.45020463847203,112.83422459893049,83.34975369458128
2024-09-13,87.8581173260573,108.8235294117647,81.13300492610837
2024-09-19,86.08458390177354,102.1390374331551,80.04926108374384
2024-09-20,85.9481582537517,105.0133689839572,78.66995073891626
2024-09-23,85.40245566166439,108.28877005347594,75.36945812807882
2024-09-24,86.22100954979535,109.29144385026738,77.4384236453202
2024-09-25,84.85675306957708,110.49465240641712,75.56650246305419
2024-09-26,88.26739427012278,120.92245989304813,76.84729064039408
2024-09-27,87.58526603001364,122.8609625668449,76.4039408866995
2024-09-30,83.90177353342429,116.71122994652406,73.64532019704434
2024-10-02,83.62892223738064,113.03475935828877,77.4384236453202
2024-10-04,82.67394270122783,116.37700534759358,80.09852216748769
2024-10-07,83.21964529331515,123.59625668449199,78.32512315270937
2024-10-08,82.26466575716235,118.98395721925135,76.35467980295566
2024-10-10,80.35470668485675,124.79946524064172,84.28571428571429
2024-10-11,80.90040927694406,124.33155080213905,82.46305418719211
2024-10-14,80.90040927694406,124.33155080213905,84.23645320197043
2024-10-15,83.21964529331515,128.9438502673797,95.02463054187193
2024-10-16,81.17326057298773,126.13636363636364,98.07881773399015
2024-10-17,81.44611186903138,131.01604278074865,97.29064039408867
2024-10-18,80.76398362892225,125.20053475935828,96.1576354679803
2024-10-21,80.49113233287858,127.60695187165776,95.32019704433498
2024-10-22,78.71759890859482,125.53475935828877,92.46305418719211
2024-10-23,80.6275579809004,131.01604278074865,98.76847290640394
2024-10-24,77.21691678035471,132.4866310160428,103.94088669950739
2024-10-25,76.2619372442019,134.35828877005346,110.83743842364532
2024-10-28,79.26330150068213,131.01604278074865,105.17241379310344
2024-10-29,81.30968622100954,127.20588235294117,111.33004926108374
2024-10-30,80.6275579809004,130.3475935828877,109.60591133004927
2024-10-31,80.76398362892225,124.53208556149733,106.40394088669952
2024-11-01,79.53615279672579,121.79144385026738,95.96059113300493
2024-11-04,80.0818553888131,129.67914438502675,101.9704433497537
2024-11-05,78.581173260573,129.14438502673798,94.5320197044335
2024-11-06,78.1718963165075,130.88235294117646,94.08866995073892
2024-11-07,78.1718963165075,130.88235294117646,94.63054187192118
2024-11-08,77.76261937244202,134.024064171123,92.95566502463053
2024-11-11,75.03410641200546,128.7433155080214,91.67487684729065
2024-11-12,72.3055934515689,124.19786096256684,87.04433497536945
2024-11-13,69.03137789904503,122.25935828877006,87.4384236453202
2024-11-14,68.07639836289222,115.64171122994654,85.91133004926108
2024-11-15,72.98772169167803,119.11764705882352,91.13300492610837
2024-11-18,77.35334242837654,114.77272727272727,86.50246305418719
2024-11-19,76.80763983628923,114.03743315508021,86.10837438423646
2024-11-20,75.44338335607094,114.03743315508021,85.17241379310346
2024-11-21,76.94406548431105,112.83422459893049,81.82266009852216
2024-11-22,76.39836289222373,118.11497326203208,76.5024630541872
2024-11-25,78.99045020463848,118.31550802139037,80.14778325123153
2024-11-26,79.53615279672579,118.38235294117648,82.16748768472907
2024-11-27,76.80763983628923,112.5,82.70935960591133
2024-11-28,75.7162346521146,107.68716577540107,80.5911330049261
2024-11-29,73.94270122783084,106.88502673796792,81.03448275862068
2024-12-02,73.12414733969986,106.14973262032086,81.92118226600985
2024-12-03,73.12414733969986,110.22727272727273,82.01970443349754
2024-12-04,72.44201909959072,112.29946524064172,79.16256157635469
2024-12-05,73.2605729877217,115.64171122994654,80.64039408866995
2024-12-06,73.806275579809,111.69786096256684,77.0935960591133
2024-12-09,72.8512960436562,112.90106951871657,70.44334975369459
2024-12-10,73.66984993178718,113.90374331550801,70.6896551724138
2024-12-11,73.66984993178718,114.83957219251337,71.87192118226601
2024-12-12,76.2619372442019,117.71390374331551,73.05418719211822
2024-12-13,76.53478854024557,117.31283422459893,74.63054187192118
2024-12-16,75.85266030013642,119.85294117647058,75.17241379310344
2024-12-17,73.94270122783084,122.99465240641712,77.98029556650246
2024-12-18,74.89768076398363,122.66042780748663,76.7487684729064
2024-12-19,72.44201909959072,116.97860962566844,74.8768472906404
2024-12-20,72.3055934515689,112.63368983957218,72.46305418719213
2024-12-23,72.98772169167803,113.36898395721926,69.26108374384236
2024-12-24,74.21555252387448,112.63368983957218,73.44827586206897
2024-12-26,73.12414733969986,113.70320855614973,72.21674876847291
2024-12-27,73.2605729877217,116.64438502673798,71.5270935960591
2024-12-30,72.57844474761255,116.24331550802138,73.89162561576354
2025-01-02,72.8512960436562,114.43850267379678,73.05418719211822
2025-01-03,74.21555252387448,121.59090909090908,77.83251231527095
2025-01-06,76.2619372442019,133.5561497326203,78.42364532019704
2025-01-07,75.57980900409277,130.3475935828877,76.20689655172413
